dataset,modelId,label,action,outcome,result,entryScore,confidence,grade,risk,distanceAtCommit
Genesis-019,meta_judge,Meta Judge,UNDER,UNDER,win,23,79,B+,Low,-58.50999999999476
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,69,71,B,Medium,15.309999999997672
Genesis-019,v31_active,V31 Active,OVER,OVER,win,69,71,B,Medium,15.309999999997672
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,69,71,B,Medium,15.309999999997672
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,69,71,B,Medium,15.309999999997672
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,69,71,B,Medium,15.309999999997672
Genesis-019,late_catch,Late Catch,OVER,OVER,win,69,71,B,Medium,15.309999999997672
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,69,71,B,Medium,15.309999999997672
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,69,71,B,Medium,15.309999999997672
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,69,71,B,Medium,15.309999999997672
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,69,71,B,Medium,15.309999999997672
Genesis-019,core_v30,Core V30,SKIP,UNDER,skipped,28,74,B,Low,-28.150000000001455
Genesis-019,v31_active,V31 Active,UNDER,UNDER,win,28,74,B,Low,-28.150000000001455
Genesis-019,v32_regime,V32 Regime,UNDER,UNDER,win,28,74,B,Low,-28.150000000001455
Genesis-019,v33_pro,V33 Pro Trader,SKIP,UNDER,skipped,28,74,B,Low,-28.150000000001455
Genesis-019,six_minute_commit,6m Commit,UNDER,UNDER,win,28,74,B,Low,-28.150000000001455
Genesis-019,late_catch,Late Catch,UNDER,UNDER,win,28,74,B,Low,-28.150000000001455
Genesis-019,trend_continuation,Trend Follow,SKIP,UNDER,skipped,28,74,B,Low,-28.150000000001455
Genesis-019,snapback_reversal,Snapback Guard,UNDER,UNDER,win,28,74,B,Low,-28.150000000001455
Genesis-019,odds_pressure,Odds Pressure,SKIP,UNDER,skipped,28,74,B,Low,-28.150000000001455
Genesis-019,meta_judge,Meta Judge,UNDER,UNDER,win,28,74,B,Low,-28.150000000001455
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,v31_active,V31 Active,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,late_catch,Late Catch,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,63,64,C,Low,25.06999999999971
Genesis-019,core_v30,Core V30,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,v31_active,V31 Active,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,v32_regime,V32 Regime,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,v33_pro,V33 Pro Trader,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,six_minute_commit,6m Commit,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,late_catch,Late Catch,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,trend_continuation,Trend Follow,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,snapback_reversal,Snapback Guard,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,odds_pressure,Odds Pressure,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
